cod,nome,corretagem,ISS,liquidacao,emolumentos
93,"NOVA FUTURA CTVM LTDA",6.98,0.05,0.000275,0.00005
308,"CLEAR CORRETORA - GRUPO XP",0,0,0.000275,0.00005
